mana_cost1,name1,type_line0,mana_cost0,type_line1,oracle_text0,name0,oracle_text1
,,Sorcery,{4}{U}{U},,Draw cards equal to the number of instant and sorcery cards in your graveyard.,Cosmic Epiphany,
,,Instant,{1}{G},,"Target creature you control deals damage equal to its power to another target creature, planeswalker, or battle.",Cosmic Hunger,
,,Instant,{1}{G}{W},,"Choose target permanent card in your graveyard. If it has mana value 3 or less, you may put it onto the battlefield. If you don't put it onto the battlefield, put it into your hand.
You gain 3 life.",Cosmic Rebirth,
,,Creature — Bat,{2}{B},,"Flying
When Courier Bat enters the battlefield, if you gained life this turn, return up to one target creature card from your graveyard to your hand.",Courier Bat,
,,Artifact — Treasure,{1}{G},,"When Courier's Briefcase enters the battlefield, create a 1/1 green and white Citizen creature token.
{T}, Sacrifice Courier's Briefcase: Add one mana of any color.
{W}{U}{B}{R}{G}, {T}, Sacrifice Courier's Briefcase: Draw three cards.",Courier's Briefcase,
,Covetous Geist,Creature — Human Rogue,{2}{B},Creature — Spirit Rogue,"When Covert Cutpurse enters the battlefield, destroy target creature you don't control that was dealt damage this turn.
Disturb {4}{B} (You may cast this card from your graveyard transformed for its disturb cost.)",Covert Cutpurse,"Flying, deathtouch
If Covetous Geist would be put into a graveyard from anywhere, exile it instead."
,,Artifact Creature — Human Ninja,{2}{U},,"Ninjutsu {1}{U} ({1}{U}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)
Whenever Covert Technician deals combat damage to a player, you may put an artifact card with mana value less than or equal to that damage from your hand onto the battlefield.",Covert Technician,
,Ghostly Castigator,Creature — Human,{1}{U},Creature — Spirit,"When Covetous Castaway dies, mill three cards. (Put the top three cards of your library into your graveyard.)
Disturb {3}{U}{U} (You may cast this card from your graveyard transformed for its disturb cost.)",Covetous Castaway,"Flying
When Ghostly Castigator enters the battlefield, you may shuffle up to three target cards from your graveyard into your library.
If Ghostly Castigator would be put into a graveyard from anywhere, exile it instead."
,,Enchantment — Aura,{1}{R},,"Enchant land you control
Enchanted land is a 3/3 red Spirit creature with haste. It's still a land.
If enchanted land would be destroyed, instead sacrifice Crackling Emergence and that land gains indestructible until end of turn.",Crackling Emergence,
,,Artifact Creature — Golem,{6},,"Prototype {2}{G} — 1/3 (You may cast this spell with different mana cost, color, and size. It keeps its abilities and types.)
{T}: Add an amount of {G} equal to Cradle Clearcutter's power.",Cradle Clearcutter,
,,Enchantment — Aura,{1}{U},,"Flash
Enchant creature you control
When Cradle of Safety enters the battlefield, enchanted creature gains hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.)
Enchanted creature gets +1/+1.",Cradle of Safety,
,,Creature — Yeti,{4}{R}{R},,"Mountaincycling {2} ({2}, Discard this card: Search your library for a Mountain card, reveal it, put it into your hand, then shuffle.)
Backup 2 (When this creature enters the battlefield, put two +1/+1 counters on target creature. If that's another creature, it gains the following ability until end of turn.)
Trample",Cragsmasher Yeti,
,,Sorcery,{B},,"Return target creature card from your graveyard to your hand. Put a +1/+1 counter on up to one target Zombie you control.
Flashback {3}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",Crawl from the Cellar,
,,Creature — Phyrexian Horror,{W},,"Toxic 1 (Players dealt combat damage by this creature also get a poison counter.)
When Crawling Chorus dies, create a 1/1 colorless Phyrexian Mite artifact creature token with toxic 1 and ""This creature can't block.""",Crawling Chorus,
,,Enchantment,{2}{G},,"At the beginning of your upkeep, you may mill two cards. (You may put the top two cards of your library into your graveyard.)
Whenever one or more creature cards are put into your graveyard from anywhere during your turn, create a 1/1 green Insect creature token. This ability triggers only once each turn.",Crawling Infestation,
,,Creature — Human Rogue,{3}{R},,"Haste
Whenever Creepy Puppeteer attacks, if you attacked with exactly one other creature this combat, you may have that creature's base power and toughness become 4/3 until end of turn.",Creepy Puppeteer,
,,Creature — Human Warrior,{B}{R}{G},,"Haste
Crew Captain has indestructible as long as it entered the battlefield this turn.",Crew Captain,
,,Sorcery,{1}{G}{U},,"Create a token that's a copy of target non-Frog creature, except it's a 1/1 green Frog.
Flashback {3}{G}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",Croaking Counterpart,
,,Creature — Ogre Rogue,{1}{B},,Crooked Custodian enters the battlefield tapped.,Crooked Custodian,
,,Artifact Creature — Scarecrow,{4},,"When Crossroads Candleguide enters the battlefield, exile up to one target card from a graveyard.
{2}: Add one mana of any color.",Crossroads Candleguide,
,,Creature — Phyrexian Cleric,{5}{B},,"Deathtouch
When Cruel Grimnarch enters the battlefield, each opponent discards a card. For each opponent who can't, you gain 4 life.",Cruel Grimnarch,
,,Creature — Bird Horror,{2}{U}{U},,"Flying
Whenever you cast a noncreature spell, surveil 1. (Look at the top card of your library. You may put that card into your graveyard.)",Cruel Witness,
,,Instant,{2}{G},,"Choose one —
• Destroy target creature with flying.
• Destroy target enchantment.",Crushing Canopy,
,,Enchantment — Aura,{3}{G},,"Enchant creature
Enchanted creature gets +3/+3 and has ward {2}.
Cycling {2} ({2}, Discard this card: Draw a card.)",Crystal Carapace,
,,Land,,,"When Crystal Grotto enters the battlefield, scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)
{T}: Add {C}.
{1}, {T}: Add one mana of any color.",Crystal Grotto,
,,Creature — Skeleton Warrior,{B},,"Cult Conscript enters the battlefield tapped.
{1}{B}: Return Cult Conscript from your graveyard to the battlefield. Activate only if a non-Skeleton creature died under your control this turn.",Cult Conscript,
,,Creature — Plant Beast,{4}{G}{G}{G},,"Trample
Cultivator Colossus's power and toughness are each equal to the number of lands you control.
When Cultivator Colossus enters the battlefield, you may put a land card from your hand onto the battlefield tapped. If you do, draw a card and repeat this process.",Cultivator Colossus,
,,Instant,{1}{U},,"Surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)
Draw a card.",Curate,
,,Enchantment — Aura Curse,{2}{R},,"Enchant player
Creatures attacking enchanted player have trample.
Whenever a creature deals combat damage to enchanted player, that player exiles the top card of their library. Until end of turn, that creature's controller may play that card and they may spend mana as though it were mana of any color to cast that spell.",Curse of Hospitality,
,Leeching Lurker,Enchantment — Aura Curse,{2}{B},Creature — Leech Horror,"Enchant player
As this permanent transforms into Curse of Leeches, attach it to a player.
At the beginning of enchanted player's upkeep, they lose 1 life and you gain 1 life.
Daybound (If a player casts no spells during their own turn, it becomes night next turn.)",Curse of Leeches,"Lifelink
Nightbound (If a player casts at least two spells during their own turn, it becomes day next turn.)"
,,Enchantment — Aura Curse,{1}{R},,"Enchant player
Whenever enchanted player casts a spell other than the first spell they cast each turn or copies a spell, Curse of Shaken Faith deals 2 damage to them.",Curse of Shaken Faith,
,,Enchantment — Aura Curse,{W},,"Enchant player
As Curse of Silence enters the battlefield, choose a card name.
Spells with the chosen name enchanted player casts cost {2} more to cast.
Whenever enchanted player casts a spell with the chosen name, you may sacrifice Curse of Silence. If you do, draw a card.",Curse of Silence,
,,Enchantment — Aura Curse,{4}{U},,"Enchant player
At the beginning of enchanted player's upkeep, any number of target players other than that player each draw cards equal to the number of Curses attached to that player.",Curse of Surveillance,
,,Instant,{B},,Destroy target creature with total power and toughness 5 or less.,Cut Down,
,,Sorcery,{X}{B}{B},,"Casualty 3 (As you cast this spell, you may sacrifice a creature with power 3 or greater. When you do, copy this spell.)
You draw X cards and you lose X life.",Cut of the Profits,
,,Instant,{2}{W},,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Destroy target planeswalker that was activated this turn or tapped creature.",Cut Short,
,,Artifact Creature — Phyrexian Warrior,{2}{B},,Sacrifice another artifact or creature: Cutthroat Centurion gets +2/+2 until end of turn. Activate only once each turn.,Cutthroat Centurion,
,,Creature — Vampire Warrior,{B},,Pay 1 life: Cutthroat Contender gets +1/+0 until end of turn. Activate only once each turn.,Cutthroat Contender,
,,Sorcery,{4}{U}{U},,"Casualty 2 (As you cast this spell, you may sacrifice a creature with power 2 or greater. When you do, copy this spell and you may choose a new target for the copy.)
Target player mills half their library, rounded down.",Cut Your Losses,
,,Legendary Creature — Human Knight,{4}{W},,"First strike, vigilance, lifelink
When Danitha, Benalia's Hope enters the battlefield, you may put an Aura or Equipment card from your hand or graveyard onto the battlefield attached to Danitha.","Danitha, Benalia's Hope",
,,Legendary Creature — Human Knight,{1}{G}{W},,"Vigilance, trample, lifelink
Once during each of your turns, you may cast an Aura or Equipment spell from your graveyard.","Danitha, New Benalia's Light",
,,Creature — Human Soldier,{3}{W},,"Dapper Shieldmate enters the battlefield with a shield counter on it. (If it would be dealt damage or destroyed, remove a shield counter from it instead.)
As long as it's your turn, Dapper Shieldmate gets +2/+0.",Dapper Shieldmate,
,,Instant,{R},,Target creature gets +1/+0 and gains first strike until end of turn. Scry 1.,Daring Escape,
